StationName,StationAddress,BikesCapacity,lat,lng
鼓山國小站,鼓山國小大門旁，臨海二路與鼓波街口,22,22.623279,120.271726
陽明公園站,陽明公園前，澄和路與澄和路158巷口,18,22.64536,120.34127
空中大學站,空中大學大門旁，大業北路上,22,22.56657,120.3455
鳳山公園站,"公園人行步道,園茂路與園中路交叉口",10,22.59456,120.35774
瑞祥高中站,凱旋四路與班超路口,8,22.60311,120.32405
華夏西北扶輪公園站,重義路與華夏路口,16,22.68662,120.31233
岡山高中站,岡山高中大門旁，公園路上,10,22.797096,120.29073
圖書總館站(2),面對原站址左側擴充,6,22.6106,120.302066
民權少康站,民權二路與少康街口,24,22.60933,120.3131
瑞豐公車總站,瑞隆公車總站前，瑞隆路上,22,22.60614,120.33876
中崙國中站,中崙路與中崙二路口,24,22.60223,120.35337
牛潮埔公園站,北賢街與永忠街口,4,22.64632,120.37048
輕軌凱旋瑞田站,凱旋四路與瑞田街口,6,22.599155,120.319892
永安區休閒公園站,永安區永華路與永安路口,16,22.818683,120.226385
彌陀漁民活動中心站,彌陀區漁會活動中心前，漁港一街與南寮路口,20,22.76143,120.2347
八卦休閒公園站,八卦休閒公園前，八德西路上,12,22.690106,120.337416
大樹舊鐵橋站(2),竹寮路大樹舊鐵橋生態公園機車停車場內,2,22.66458,120.4272
大樹舊鐵橋站(1),竹寮路舊鐵橋遊客中心大門旁,20,22.66209,120.4268
九曲堂火車站(1),九曲堂火車站前，復興街上,0,22.65679,120.42084
九曲堂火車站(2),九曲堂火車站前，復興街上,6,22.656953,120.420897
濱海鼓元站,鼓元街與濱海二路口,10,22.623066,120.269875
鼓山厚德站,鼓山三路6巷與厚德路口,12,22.64616,120.278703
龍勝大順站,龍勝路與大順一路口,30,22.654522,120.295648
左營火車站,新莊一路底，臨公有停車場,18,22.67407,120.29581
屏山國小站,屏山國小大門旁，海功東路上,12,22.69372,120.30194
光武國小站,光武國小旁人行步道(近光武路與九如一路交叉口處),10,22.638186,120.334644
空軍軍史館站,空軍第三後勤指揮部大門旁，介壽西路上,14,22.78448,120.27589
捷運橋頭火車站,捷運橋頭火車站2號出口旁,16,22.76102,120.30996
橋頭地院站,橋頭地院側門出入口右側人行步道,10,22.73764,120.304188
北辰兒童公園站,文龍東路與北辰街15巷口,22,22.64049,120.36525
五甲社區活動中心站,新富路與新富路590巷口,22,22.61514,120.34825
國際商工站,三多二路與凱旋二路口,2,22.62101,120.32574
興仁國中站,德昌路與興仁街口,20,22.58682,120.31382
北昌路站,北昌路與北昌三街口,16,22.64518,120.37258
鳳山火車站(2),面對原站址右側擴充,0,22.63057,120.35826
新泰兒童公園站,新強路上，新國街與新泰街間,18,22.61092,120.34361
瑞豐國中站,公正路與瑞北路口,18,22.6091,120.33057
美都公園站,美都路與十全三路口,14,22.646569,120.289018
中央公園站(3),捷運中央公園站3號出口後方人行步道,4,22.625938,120.301552
輕軌軟體園區站,復興四路與成功二路口,2,22.60517,120.30069
中正預校站,中正預校大門旁，凱旋路上,20,22.607155,120.359701
航空教育展示館站,航空教育展示館大門旁，致遠路上,12,22.79462,120.27131
國昌國中站,國昌國中大門旁，德民路上,18,22.71917,120.285997
自強新田站,"自強三路公有機車停車場出入口,自強三路與新田路交叉口",0,22.620423,120.29733
輕軌旅運中心站,海邊路與永平路交叉口,16,22.6128,120.2921
凱旋醫院站,凱旋醫院大門前，凱旋二路上,24,22.62489,120.32405
鳳山商工站,鳳山商工旁，建國三路上,28,22.63627,120.35689
桂林公園站(1),桂林國小對面，桂陽路上,20,22.581963,120.350604
桂林公園站(2),桂林國小對面，桂陽路上,28,22.581987,120.350347
清水巖榕樹休憩公園站,清水巖榕樹休憩公園入口旁，清水岩路上,18,22.52183,120.39078
鼓山一路站,鼓山一路與鼓山一路119巷口,18,22.627848,120.279371
滷博館站,岡山區本洲五街與本洲六街口,16,22.81849,120.26778
臨海兒童公園站,臨海兒童公園內，東亞南路轉彎處,16,22.5582,120.33553
中崙公園站,中崙公共托嬰中心旁，中崙五路上,8,22.59713,120.35371
岡山火車站,岡山火車站前，中山北路上,16,22.79291,120.29933
輕軌真愛碼頭站,公園二路與輕軌C11站出入口,12,22.619799,120.288904
輕軌前鎮之星站,"捷運凱旋站1號出口旁人行道,中山三路上",2,22.59634,120.31537
高雄後火車站(1),九如二路與松江街,28,22.641065,120.303608
高雄後火車站(2),九如二路與松江街,16,22.640956,120.303587
大義國中站,大義國中旁人行道,12,22.674512,120.293163
美術館火車站,美術館火車站對面公園人行道,18,22.652038,120.281111
輕軌光榮碼頭站,青年路和海邊路交叉口處,8,22.617278,120.293559
內惟火車站,內惟火車站對面公園人行道(翠華路上),6,22.666149,120.286779
凹子底站(2),原凹仔底自行車舊站人行道旁(博愛二路與至聖路),8,22.659107,120.302831
路竹夜市站,民富街和民強街(公有停車場),12,22.853701,120.262653
油廠國小站,左楠路與後昌路西南方人行道(油廠國小捷運站1號出口對面人行道),8,22.707728,120.301772
九番埤濕地公園站,霞海路-九番埤濕地公園門口人行道旁(霞海路近霞海東一街公園),14,22.685818,120.324581
民族火車站,凱旋一路民族火車站旁機車停車場內,30,22.638699,120.315209
科工館火車站,科工館火車站旁機車停車場內(近大順三路305巷與樂仁路125巷6弄),24,22.637178,120.325194
鼓山火車站,鼓山火車站旁人行道(鐵路街20巷),14,22.642038,120.280524
高科運動公園站,路科二路南向人行道旁(近路科二路與路科五路人行道),16,22.828138,120.256706
高雄車站,國光客運前空地,28,22.637821,120.303665
路竹高中站,路竹高中前人行步道,14,22.854928,120.252892
