公司統一編號,公司名稱,分公司統一編號,分公司名稱,分公司地址,分公司狀態,lat,lng,市鎮鄉村里,area1,area2,area3
22555003,統一超商股份有限公司,97176829,台中縣第七十一分公司,臺中市霧峰區樹仁路二十六號,1,24.0640182,120.6971395,台灣台中市霧峰區本堂里,台中市,霧峰區,本堂里
22555003,統一超商股份有限公司,97176834,雲林縣第１７分公司,雲林縣斗南鎮明昌里延平路二段５５２號,3,23.6707784,120.4756606,台灣雲林縣斗南鎮明昌里,雲林縣,斗南鎮,明昌里
22555003,統一超商股份有限公司,97176840,台南巿第８９分公司,臺南市東區自強里中華東路二段２９３號,1,22.9825281,120.2308818,台灣台南市東區自強里,台南市,東區,自強里
22555003,統一超商股份有限公司,97176855,台南巿第９０分公司,臺南市南區同安里明興路１２０５號,3,22.9254135,120.1857702,台灣台南市南區同安里,台南市,南區,同安里
22555003,統一超商股份有限公司,97176861,台中市第一一二分公司,臺中市南區樹義里大慶街二段５–２號,1,24.1142038,120.6526752,台灣台中市南區樹義里,台中市,南區,樹義里
22555003,統一超商股份有限公司,97176877,台中市第一一三分公司,臺中市西屯區永福路40巷5號,1,24.182747,120.6198775,台灣台中市西屯區福雅里,台中市,西屯區,福雅里
22555003,統一超商股份有限公司,97176882,高雄巿第１４９分公司,高雄市三民區南臺路２０３號,3,22.637696,120.297925,台灣高雄市三民區建東里,高雄市,三民區,建東里
22555003,統一超商股份有限公司,97176927,台北巿第２２９分公司,臺北市中山區興亞里一江街十二號,3,25.0515716,121.5296407,台灣台北市中山區興亞里,台北市,中山區,興亞里
22555003,統一超商股份有限公司,97176932,台南巿第９３分公司,臺南市南區大成路二段１８９號,3,22.9747678,120.192489,台灣台南市南區府南里,台南市,南區,府南里
22555003,統一超商股份有限公司,97176996,高雄縣第４９分公司,高雄市岡山區程香里８鄰岡燕路２８９號,3,22.7919891,120.3033622,台灣高雄市岡山區碧紅里,高雄市,岡山區,碧紅里
22555003,統一超商股份有限公司,97177003,高雄市第三三三分公司,高雄市鳳山區瑞竹里中山東路２０９號,3,22.623865,120.369674,台灣高雄市鳳山區瑞竹里,高雄市,鳳山區,瑞竹里
22555003,統一超商股份有限公司,97177334,台南巿第９２分公司,臺南市中西區仙草里健康路一段４１６號,3,22.9816541,120.1980753,台灣台南市中西區仙草里,台南市,中西區,仙草里
22555003,統一超商股份有限公司,97177340,苗栗縣第７分公司,苗栗縣苗栗市中正路1045號,1,24.5485063,120.8162046,台灣苗栗縣苗栗市勝利里,苗栗縣,苗栗市,勝利里
22555003,統一超商股份有限公司,97177355,屏東縣第２２分公司,屏東縣林邊鄉仁和村中山路２７５號,1,22.4347033,120.514553,台灣屏東縣林邊鄉仁和村,屏東縣,林邊鄉,仁和村
22555003,統一超商股份有限公司,97177361,新北市第二四九分公司,新北市五股區六福里五福路49號,1,25.0896867,121.4331499,台灣新北市五股區六福里,新北市,五股區,六福里
22555003,統一超商股份有限公司,97177377,桃園縣第８６分公司,桃園市中壢區普仁里十一鄰日新路八十一號,3,24.9556104,121.240614,台灣桃園市中壢區普忠里,桃園市,中壢區,普忠里
22555003,統一超商股份有限公司,97177382,桃園縣第８７分公司,桃園市中壢區後寮里十九鄰中山東路三段二十號,3,24.9445224,121.2482766,台灣桃園市中壢區仁美里,桃園市,中壢區,仁美里
22555003,統一超商股份有限公司,97177806,基隆市第７分公司,基隆市仁愛區仁二路九十五號,3,25.1275439,121.7485333,台灣基隆市仁愛區和明里,基隆市,仁愛區,和明里
22555003,統一超商股份有限公司,97177812,台北縣第２５０分公司,新北市汐止區汐萬路一段222號,1,25.0730789,121.651861,台灣新北市汐止區江北里,新北市,汐止區,江北里
22555003,統一超商股份有限公司,97177828,台北巿第２３２分公司,臺北市中正區重慶南路一段１１６號,3,25.041916,121.513028,台灣台北市中正區建國里,台北市,中正區,建國里
22555003,統一超商股份有限公司,97177833,台北巿第２３５分公司,臺北市北投區石牌路二段９號,3,25.115751,121.5152365,台灣台北市北投區永明里,台北市,北投區,永明里
22555003,統一超商股份有限公司,97177849,南投縣第１２分公司,南投縣竹山鎮山崇里集山路二段七十五號,3,23.7947503,120.7097571,台灣南投縣竹山鎮山崇里,南投縣,竹山鎮,山崇里
22555003,統一超商股份有限公司,97177854,南投縣第１３分公司,南投縣南投市文化南路８號,3,23.8983873,120.6834248,台灣南投縣南投市嘉和里,南投縣,南投市,嘉和里
22555003,統一超商股份有限公司,97177860,台南縣第４９分公司,臺南市永康區北灣里二十鄰永大路２７８號,3,23.0053897,120.2615772,台灣台南市永康區西灣里,台南市,永康區,西灣里
22555003,統一超商股份有限公司,97177876,新竹縣第１５分公司,新竹縣新埔鎮中正路203號,3,24.827301,121.081134,台灣新竹縣新埔鎮田新里,新竹縣,新埔鎮,田新里
22555003,統一超商股份有限公司,97177881,台中縣第七十三分公司,臺中市大甲區通天路１６８號,1,24.3810477,120.6549489,台灣台中市大甲區孟春里,台中市,大甲區,孟春里
22555003,統一超商股份有限公司,97177897,高雄巿第２６分公司,高雄市三民區安邦里察哈爾二街83號,1,22.6477495,120.3002103,台灣高雄市三民區安邦里,高雄市,三民區,安邦里
22555003,統一超商股份有限公司,97178024,台南巿第９５分公司,臺南市北區大豐里二十七鄰中華北路一段１４３號,1,23.0097903,120.1851692,台灣台南市北區賢北里,台南市,北區,賢北里
22555003,統一超商股份有限公司,97178039,台南巿第９６分公司,臺南市北區和順里西門路三段81號,1,23.0024061,120.203123,台灣台南市北區和順里,台南市,北區,和順里
22555003,統一超商股份有限公司,97178045,桃園縣第８８分公司,桃園市桃園區永安路２１９號,3,24.998211,121.303742,台灣桃園市桃園區中興里,桃園市,桃園區,中興里
22555003,統一超商股份有限公司,97178050,桃園縣第８９分公司,桃園市桃園區萬壽路三段41號,3,24.991827,121.3225269,台灣桃園市桃園區萬壽里,桃園市,桃園區,萬壽里
22555003,統一超商股份有限公司,97178066,台中縣第七十二分公司,臺中市太平區光興路１６３２號,1,24.1215315,120.7343176,台灣台中市太平區福隆里,台中市,太平區,福隆里
22555003,統一超商股份有限公司,97178072,台南巿第９４分公司,臺南市北區六甲里西門路四段３３２號,1,23.0135633,120.2095524,台灣台南市北區六甲里,台南市,北區,六甲里
22555003,統一超商股份有限公司,97178663,台北巿第二四四分公司,臺北市萬華區萬大路４８６巷二十八弄１號,3,25.02024,121.496498,台灣台北市萬華區華中里,台北市,萬華區,華中里
22555003,統一超商股份有限公司,97178679,台南巿第９７分公司,臺南市東區中華東路三段七十五號,3,22.9747216,120.2215852,台灣台南市東區忠孝里,台南市,東區,忠孝里
22555003,統一超商股份有限公司,97178919,嘉義巿第２８分公司,嘉義巿泰安里１鄰博愛路一段１號,3,23.4849016,120.442495,台灣嘉義市西區慶安里,嘉義市,西區,慶安里
22555003,統一超商股份有限公司,97178925,台中巿第一一四分公司,臺中市北屯區三光里５鄰太原路三段３６９號,3,24.165033,120.697311,台灣台中市北屯區三光里,台中市,北屯區,三光里
22555003,統一超商股份有限公司,97178930,台南巿第９８分公司,臺南市中西區府前路二段２１３號,3,22.9915841,120.1917677,台灣台南市中西區民主里,台南市,中西區,民主里
22555003,統一超商股份有限公司,97179163,台北巿第二四六分公司,臺北市士林區德行東路331巷35號,3,25.111802,121.537904,台灣台北市士林區東山里,台北市,士林區,東山里
22555003,統一超商股份有限公司,97179179,台北巿第２６０分公司,臺北市內湖區成功路二段252號,1,25.0662146,121.5903534,台灣台北市內湖區湖興里,台北市,內湖區,湖興里
