NAME,ADDRESS,CAR_NUM,MOTOR_NUM,lat,lng
和義二停車場,八德區和義二街39號,25,0,24.9603935,121.3074432
和義一停車場,八德區和平路與和義一街口號,26,0,24.957931,121.3078829
Times中壢中北路4停車場,中壢區中北段1161號,41,0,24.957537,121.2410215
GLORIA OUTLETS華泰名品城停車場(二期),桃園市中壢區春德路169號,595,0,25.0150845,121.2141377
桃花園飯店停車場,桃園市桃園區復興路147號,42,0,24.9899769,121.311652
台灣聯通廣豐新天地停車場,桃園市八德區介壽路一段728號,1108,863,24.96491,121.2992578
寶慶停車場,桃園區寶慶路503號,145,0,25.0198623,121.2896218
Times桃園同德五街停車場,桃園市桃園區同德五街25號,49,0,25.0149739,121.3015704
小沈臨時停車場,中壢區培英路232號,79,0,24.9770645,121.2256869
桃園市立圖書館龜山分館地下停車場,桃園市龜山區自強南路97號,72,0,24.991867,121.338613
陽明綜合大樓地下停車場,桃園市桃園區陽明三街33號,23,11,24.9793277,121.3073034
大林社區活動中心地下停車場,桃園市桃園區大原路31號,11,0,24.977755,121.320365
桃園市立圖書館平鎮分館停車場,桃園市平鎮區環南路三段88號,89,0,24.9394189,121.2177529
林口復興停車場,復興二路33巷16弄號,18,0,25.053983,121.3729776
富山停車場,中壢區東寮段1853號,132,0,24.9721514,121.2053963
Times中壢明德路停車場,中壢區明德路198號,41,0,24.9598028,121.217028
文康停車場,中壢區高鐵南路二段350號,125,0,25.0029931,121.2046581
青雲公有停車場,領航南路三段與青雲路交叉(中壢區領航南路三段238號,103,0,25.0103061,121.2203993
青松公有停車場,中壢區領航南路二段與青松街口(中壢區青商路1號,40,0,25.0049676,121.2167623
環北停車場,中壢區環北路89號,23,0,24.966421,121.218951
青商公有停車場,中壢區高鐵站前西路一段與領航南路三段口(中壢區領航南路三段102~112號,48,0,25.007986,121.21821
大竹圍平面停車場,蘆竹區博愛街與明德街交叉口(博愛街18號,17,0,25.0238127,121.2617457
桃園市土地公文化館停車場,桃園市桃園區三民路一段100號,40,0,24.998189,121.321246
萬和小客車租賃股份有限公司中壢營業所停車場,桃園市中壢區環北路與新生路交叉口號,346,0,24.967197,121.22113
金陵停車場,桃園市平鎮區振平段187號,35,0,24.9437763,121.2196292
吉安停車場,桃園區中路二段8號,57,0,25.001919,121.287392
裕源普利茲廣場停車場,桃園市桃園區大林路號,34,0,24.9877565,121.3145813
Times JC PARK桃園春日館停車場,桃園市桃園區春日路618號,149,0,25.009333,121.311635
Times龜山文康街停車場,桃園市龜山區樂善段181號,40,0,25.052038,121.382722
豐義龍宮街停車場,桃園市八德區龍宮街73巷13號,68,0,24.9266001,121.2572591
富山中壢區龍岡圖書館地下停車場,桃園市中壢區台貿一街100號,49,0,24.9376802,121.2558996
Times桃園龍泉五街停車場,桃園區龍祥段6號,76,0,24.9809586,121.2713236
Times中壢後興路2停車場,桃園市中壢區後興路一段169號,13,0,24.9413968,121.2459539
家樂福內壢分公司停車場,桃園市中壢區中華路一段450號,9,0,24.9731158,121.2535158
A21環北站停車場,桃園市中壢區中豐北路一段26號,132,275,24.9676191,121.2211107
A20興南站停車場,桃園市中壢區中豐北路一段，青埔高爾夫球場旁號,10,105,24.9878142,121.2094049
林口文化停車場,桃園市龜山區公西段697及764號,95,0,25.063211,121.3557151
名軒快樂家地下停車場,桃園市龜山區文學路221號,71,0,25.0397802,121.3899332
Times桃園中華路停車場,桃園區桃園段武陵小段115-4號,29,0,24.987672,121.2857263
Times 蘆竹興仁路,桃園市蘆竹區興仁路112號,16,0,25.0182776,121.2606831
廣豐一停車場,桃園市八德區桃德路100巷與公園路口號,118,0,24.9675745,121.2969085
大興平面停車場,平鎮區金城街與大興街交叉口號,27,0,24.9115485,121.2089585
中壢區五福停車場,桃園市中壢區五光一街82號,126,80,24.959597,121.20944
大有路桃殯停車場,桃園區峨眉段937號,18,0,25.021431,121.314477
龍安停車場,桃園市桃園區龍安街137號,13,0,24.9908079,121.2796453
驛鑫交通股份有限公司林口場,桃園市龜山區復興一路222號,18,0,25.057557,121.36514
博客停車場楊梅站,楊梅區大模街10號,99,0,24.9128508,121.1444587
Times八德廣興二路,桃園市八德區廣興二路與長興一路口號,19,0,24.9330997,121.2824995
Times桃園同安街停車場,桃園區新埔段880號,13,0,25.0153026,121.3038834
富山民有13街停車場,桃園區寶山段1008號,13,0,24.9934099,121.2969674
青航停車場,桃園市大園區青山段285號,55,0,25.0492632,121.193945
Times八德豐田三路,桃園市八德區豐田三路103號,28,0,24.9283322,121.2868254
中壢停一收費停車場,桃園市中壢區新興路198號,22,17,24.9532861,121.2277859
Times桃園春日路停車場,桃園區大興段908號,77,0,25.0097658,121.2957252
Times桃園永福西街停車場,桃園區中路段2656號,22,0,24.9864321,121.2916689
機場捷運A7體育大學站停車場,桃園市龜山區文化一路688號,40,62,25.0413252,121.385281
也翔中山路停車場,桃園區中山路1306號,80,0,24.9805983,121.2742756
A17領航站停車場,桃園市大園區領航北路四段251號,22,156,25.0253078,121.2207727
A15大園站停車場,桃園市大園區橫湳一路50號,20,94,25.0560632,121.2104866
Times 蘆竹五福一路,桃園蘆竹區五福一路120號,93,0,25.0556576,121.29424
五都停車場桃園法院站,桃園區永安路765巷與正光路路口旁號,112,0,25.005845,121.2896193
Times蘆竹南崁路停車場,桃園市蘆竹區南崁路69號,13,0,25.045101,121.295779
同安停車場,桃園區同安街415號,12,0,25.0185902,121.3015041
福德停車場,桃園市中壢區後寮一路上號,54,0,24.9379435,121.2464753
台灣聯通遠東停車場,桃園區中正路20號,240,0,24.9897388,121.3137948
桃園春日站停車場,春日路1463號,16,0,25.0219255,121.3075249
Times桃園國強六街停車場,桃園區國強六街8號,24,0,24.988111,121.2794945
正光停車場,桃園區廈門街174號,20,0,24.994587,121.295696
Times中壢中豐路停車場,中壢區中豐路325號,17,0,24.9572979,121.2190044
全方位停車場同安站,桃園區同安段965號,49,0,25.0215708,121.3024157
中壢區石頭段公有停車場,中壢區龍岡路一段與金陵路交叉口號,133,0,24.9508522,121.2230141
桃園國際機場第二航廈4號停車場,桃園市大園區埔心村航站南路9號,2797,0,25.0796514,121.234217
A16橫山站停車場,桃園市大園區大竹南路1180號,25,34,25.0420697,121.2391829
A11坑口站停車場,桃園市蘆竹區坑菓路460號,35,178,25.0879248,121.2656024
Times楊梅中山北路一段,中山北路一段356號,57,0,24.9089106,121.1572076
嘟嘟房第一航廈1號停車場,桃園市大園區中正段61號,919,0,25.0120587,121.2257476
嘟嘟房第一航廈貨運區1號停車場,桃園機場第一航廈貨運區號,205,0,25.0796514,121.234217
嘟嘟房第一航廈2號停車場,桃園市大園區中正段140號,811,0,25.0332723,121.2310061
嘟嘟房第一航廈貨運區3號停車場,台北市南港區三重路19-5號,300,0,25.056985,121.613732
嘟嘟房第一航廈貨運區2號停車場,桃園機場第一航廈貨運區號,282,0,25.0796514,121.234217
中興北路停車場,新屋區中興北路(新屋國小旁)號,23,0,24.9736687,121.1020927
Times中壢環北路停車場,中壢區環北路與七和路交叉口(六和段1號,407,0,24.9453453,121.1858942
台灣聯通延平停車場,桃園市平鎮區延平路一段2號,44,0,24.9527717,121.2210007
中路停一停車場,桃園區中路一段47號,65,0,25.001919,121.287392
中路停三停車場,桃園區中路三段45號,57,19,25.0234136,121.224586
中路停五停車場,桃園區中路二段285號,115,0,25.001919,121.287392
中路停六停車場,桃園區中路三段119號,115,0,25.001919,121.287392
武陵小段停車場,桃園區桃園段武陵小段186-1號,22,0,25.0204325,121.2759989
台灣聯通桃園高明停車場,桃園市八德區永興街129號,68,0,24.9773862,121.2736334
桃園大衛營地下停車場,桃園市桃園區新埔六街70號,78,0,25.0149451,121.3024478
Times桃園延壽街停車場,桃園區中正段1198-2號,17,0,24.9955311,121.2830099
Times蘆竹六福路停車場,桃園市蘆竹區六福路246號,49,0,25.0608991,121.2986658
全方位停車場寶興站,桃園區民有三街501號,60,87,25.0128804,121.3139253
Times八德金和路,桃園市八德區金和路與同和路交叉口號,285,0,24.9546626,121.2949701
桃園市南區青少年活動中心停車場,桃園市平鎮區延平路一段168號,71,0,24.9507729,121.2168909
大華段公有停車場,中壢區成章二街55號,29,0,24.9791624,121.2516487
桃園國民運動中心停車場,桃園區中山東路233號,55,52,24.99802,121.320783
桃園藝文園區地下停車場,桃園區藝文一街55號,517,409,25.0157007,121.3006014
Times蘆竹南崁路2停車場,桃園市蘆竹區錦明段124號,25,0,25.033698,121.3010541
宏泰停車場,桃園區泰昌二街(近宏昌十一街口)桃園區中平段283-4號,60,0,24.9869863,121.297358
盛園停車場,桃園市大園區華中街2號,20,0,25.0623117,121.1959554
Times龜山南上路,桃園市龜山區南上路50巷57號,43,0,25.047875,121.2959761
春祥文化停車場,桃園市龜山區文化段59號,178,0,25.0199092,121.3655989
鹿過停車場大興站,桃園區大興西路二段69巷26號,86,0,25.0106201,121.2987637
桃鶯橋停車場,桃園區大樹林段732號,14,0,24.830647,121.32838
Times桃園鎮東街停車場,桃園區東門段493號,12,0,24.9944936,121.3152904
A8停車場,桃園市龜山區文化段87號,55,0,25.058222,121.3636075
千葉火鍋附設停車場,桃園八德區大和路56號,64,0,24.9547462,121.2984183
台灣聯通桃園廣興停車場,桃園市八德區中正北路與廣興路109巷交叉口號,73,0,24.9318802,121.2834067
忠貞二公有停車場,桃園市平鎮區中正三路與龍平路口旁號,15,0,24.9284268,121.2546569
忠貞三公有停車場,桃園市平鎮區中正三路與忠貞路口旁號,57,0,24.9284268,121.2546569
文化一路停車場,文化一路10巷20號,14,0,25.0593886,121.3705665
八德區瑞祥停車場,桃園市八德區介壽路二段1233巷48弄號,178,0,24.9305286,121.2992194
馳特龍強停車場,桃園區龍安段336號,7,0,24.9882174,121.2808064
南平運動中心停車場,桃園區南平路22號,46,30,25.0184166,121.2994339
川源停車場,桃園區建國段602號,34,0,24.9934099,121.2969674
Times桃園高鐵站前西路一段停車場,桃園市中壢區高鐵站前西路一段與致祥一路交叉口(中壢區青平段31號,180,0,25.0090168,121.2174662
南平停車場,蘆竹區洛陽街68號,49,0,25.044968,121.2905941
洛陽停車場,蘆竹區洛陽街135號,17,0,25.0445775,121.2905529
憲兵隊停車場,桃園區復興路295號,48,0,24.988958,121.305911
Times大溪信義路停車場,大溪區田心子段下田心小段1949號,25,0,24.8658422,121.2969674
長揚企業社停車場,桃園區同安段1812號,35,0,25.017618,121.302401
宏昌二站停車場,桃園區中山段275號,17,0,24.8654923,121.2101288
宏昌一站停車場,桃園區中山段166號,42,0,24.8672003,121.2105996
大華五街站停車場,桃園區埔子段埔子小段2028-84號,23,0,25.010468,121.287966
新埔六街鴻崴停車場,桃園區同德段53-1號,30,0,25.0156907,121.2975448
全聯中壢福州停車場,中壢區福州一街126號,3,0,24.9654308,121.2325288
禾暉(同德)停車場,桃園區中埔段264號,91,0,24.9934099,121.2969674
Times龜山頂興路,桃園市龜山區頂興路41巷58號,10,0,24.9903953,121.329769
中壢中北平面停車場,中壢區中北路二段437巷115號,33,0,24.955861,121.2320879
中壢國民運動中心停車場,桃園市中壢區三光路350號,107,41,24.9643003,121.2152849
豐林停車場,中壢區華勛街208巷52弄32號,70,0,24.9484986,121.2592417
Times UNIQLO桃園春日店停車場,桃園區汴洲段413號,100,0,25.0269486,121.3069787
全聯大園華興停車場,桃園市大園區華興路36號,18,0,25.064529,121.192685
龍華公有停車場,龍潭區金龍路80巷20弄14號,30,0,24.8566294,121.2124033
嘟嘟房第一航廈貨運區4號停車場,嘟嘟房第一航廈貨運區號,140,0,25.086941,121.244289
Times蘆竹南竹路停車場,蘆竹區南竹路一段98巷16號,27,0,25.0472492,121.2901404
Times桃園民族長壽停車場,桃園區桃園段武陵小段101號,26,0,24.987672,121.2857263
Times桃園大業路2停車場,桃園區會稽段909號,19,0,25.0007754,121.316126
台灣聯通桃園頂好停車場,桃園區中正路48巷9號,34,0,24.9914474,121.3133774
廣豐二停車場,桃園市八德區廣豐二街與廣豐三街交叉口號,150,30,24.9657612,121.2955438
大和段停車場,桃園市八德區建國路與文昌街口號,45,0,24.9559113,121.2941741
