id,grid,name,type,lat,lng
4630735391,341,凱恩斯岩燒餐廳,restaurant,24.1513056,120.6344408
3904920803,366,cama café,cafe,24.1372649,120.6804422
3437587703,300,亞洲雞腿王,restaurant,24.1723204,120.6424174
6268022500,344,湖南味,restaurant,24.1470928,120.6890446
5564893417,344,Emily愛美麗鬆餅,restaurant,24.1555808,120.6879156
4287927147,196,大俠漢堡(早餐),fast_food,24.2492713,120.7131194
5911282986,184,月見堂丼飯,restaurant,24.2464369,120.5429252
7125697808,302,李記蒸餃世家,restaurant,24.1714581,120.6746103
1647308093,321,Caffè,cafe,24.1705860,120.6464608
5534174213,303,漢堡大師,restaurant,24.1740683,120.6910568
7170215628,283,搞什麼鹹酥雞,restaurant,24.1894144,120.7017697
6684098029,345,Nu Pasta,restaurant,24.1568418,120.6926526
5551211878,324,超雞擂台,restaurant,24.1668183,120.6818367
4256709454,458,Ironfire炭烤 酒吧,restaurant,24.0685288,120.6996721
5354599923,342,博多義,restaurant,24.1510822,120.6485433
4674267287,346,噪咖 餐酒製造所,restaurant,24.1495699,120.7150329
5741491529,303,Subway,fast_food,24.1717557,120.6869019
5634149260,345,無名串燒坊,restaurant,24.1444666,120.7031599
6203243307,321,勝博殿,restaurant,24.1651358,120.6436258
6271452303,365,明 日 餐 桌,restaurant,24.1405546,120.6776765
3628169014,442,小猪很忙蔬果滷味,restaurant,24.0877475,120.7055026
6366105997,186,嘉控肉飯,restaurant,24.2434049,120.5618660
7170215676,260,真味現炒小館,restaurant,24.2044406,120.7063612
3621673351,473,思倍思咖啡,restaurant,24.0620862,120.6991505
7170215668,260,天善素食,restaurant,24.2014655,120.7059381
7039968832,364,廣福樸園精緻蔬食館,restaurant,24.1346843,120.6518099
5564893400,324,鄉村漢堡,restaurant,24.1575620,120.6904957
5551211872,324,財神爺魯肉飯,restaurant,24.1672161,120.6821151
7180874343,325,新瀧興,restaurant,24.1625814,120.7000586
5081906654,346,比臉大雞排-太平中山店,restaurant,24.1487982,120.7164843
4243927963,390,老船長香雞排,restaurant,24.1263209,120.7141057
6231728909,342,Louisa,cafe,24.1564501,120.6567739
4658252791,346,鼎豐麵食館,restaurant,24.1542120,120.7197841
3373174245,302,鮮友火鍋,restaurant,24.1829292,120.6653150
7125697845,343,楊媽媽素煎包,restaurant,24.1507592,120.6737055
7093933693,322,Session,restaurant,24.1575895,120.6561226
2763786603,322,菘澤拉麵,restaurant,24.1693270,120.6607331
5135363962,163,四海遊龍鍋貼,restaurant,24.2594217,120.5327688
7125697952,302,台南鹽酥雞,restaurant,24.1760033,120.6726035
4258188048,407,藏甜手作廚房,restaurant,24.1154409,120.6741459
7125697868,343,比臉大雞排,restaurant,24.1494554,120.6747658
5562359073,302,興大來來,restaurant,24.1780810,120.6725531
7284672470,296,威力燒臘,restaurant,24.1814168,120.5871331
3100522809,305,星巴克,cafe,24.1742631,120.7191761
6366035530,230,鳥居夜景咖啡,cafe,24.2202387,120.5884802
4508007902,408,太師傅中式便當,restaurant,24.1100441,120.6820069
3621137275,458,阿滿麵線,restaurant,24.0627930,120.6970170
5123507658,163,E豆咖啡廳,cafe,24.2584671,120.5381699
5738466095,347,天南宮麵攤,restaurant,24.1540685,120.7312297
3205649560,365,嗎啡坊,restaurant,24.1366473,120.6756066
4716127158,326,永和豆漿,restaurant,24.1581666,120.7202039
5534174340,303,樹太老,restaurant,24.1717008,120.6914084
5498462128,303,海光新村,restaurant,24.1711751,120.6826498
6387268589,322,廣豐燒臘,restaurant,24.1597089,120.6588894
