code3,Month,InvoiceCount,SalesAmount,StoreCount,InvoiceCount_AVG,SalesAmount_AVG,StoreCount_AVG
A6400024007,3|4|7|10|8|1|5|12|9|2|6|11,44891|45640|48883|47050|45337|41677|50583|44202|47046|37861|47672|44292,4358595|4290490|4582379|4291251|4378898|4192117|4583828|4144050|4384100|4188419|4440020|4189739,5|5|5|5|5|5|5|5|5|5|5|5,45427.833333333336,4335323.833333333,5.0
A6400024008,2|10|3|5|6|9|12|1|4|8|11|7,34262|42747|40605|46653|42720|43280|40923|33844|42354|40429|40746|43208,4521355|4529652|4329557|5145225|4521887|4859702|4362720|3848735|4657938|4623169|4282398|4560994,7|8|7|7|8|8|7|7|8|7|8|7,40980.916666666664,4520277.666666667,7.416666666666667
A6400024009,5|6|11|1|4|12|3|7|10|8|9|2,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400019044,3|1|6|10|4|5|9|12|2|7|11|8,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400019046,1|4|10|3|9|8|2|7|12|5|6|11,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400019047,10|3|5|8|12|1|4|9|2|6|7|11,51871|50191|54413|47437|54391|48590|50175|51166|44597|50306|51672|52069,27826841|20981508|26159540|30319270|21767647|34569881|29291616|30325573|20066957|25438597|30985290|22982758,5|5|5|5|6|5|5|5|5|5|5|6,50573.166666666664,26726289.833333332,5.166666666666667
A6400019048,,,,,0.0,0.0,0.0
A6400019049,2|1|7|5|3|6|11|12|4|10|8|9,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
A6400020001,9|4|8|1|6|12|3|7|11|2|10|5,-99|-99|-99|-99|-99|16660|-99|-99|13590|-99|-99|-99,-99|-99|-99|-99|-99|989311|-99|-99|929818|-99|-99|-99,-99|-99|-99|-99|-99|5|-99|-99|5|-99|-99|-99,15125.0,959564.5,5.0
A6400024010,,,,,0.0,0.0,0.0
A6400024011,2|10|5|9|11|6|3|8|1|4|12|7,29436|33811|34640|33801|36959|32817|33741|33219|33326|32788|43276|34756,11674050|11262230|13345655|11491991|12388239|9499990|12293881|11720054|11555675|10660932|13204343|11461967,5|5|5|5|6|5|5|5|5|5|6|5,34380.833333333336,11713250.583333334,5.166666666666667
A6400024012,6|2|10|5|1|9|8|12|4|3|7|11,-99|23466|26872|-99|23892|-99|-99|26798|-99|24391|-99|25894,-99|3950710|3292769|-99|3139487|-99|-99|4526360|-99|3015466|-99|3586046,-99|5|5|-99|5|-99|-99|5|-99|5|-99|5,25218.833333333332,3585139.6666666665,5.0
A6400024013,10|6|11|5|9|3|8|12|2|4|1|7,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99|-99,0.0,0.0,0.0
