code3	Month	PowerRate	PowerSum	PowerUser	PowerRate_AVG	PowerSum_AVG	PowerUser_AVG
A1000207005	1|2|3|4|5|6	824246.28|907821.47|1582747.29|1827567.29|2075834.19|2483052.0	514428|485180|650912|710550|759158|841890	1506|2769|1965|3789|3429|1882	1616878.087	660353	2556.666667
A1000201028	1|2|3|4|5|6	1249936.87|1712472.52|1602921.63|1371625.53|2431198.33|2852103.62	557281|663018|634809|545894|864546|969527	3350|4323|3927|1865|2273|4503	1870043.083	705845.8333	3373.5
A1000201029	1|2|3|4|5|6	1876208.2|2310256.02|2747877.93|2115735.09|3427511.81|4832358.95	680780|720435|828890|677127|1041994|1249548	1441|1815|1690|1485|1876|1921	2884991.333	866462.3333	1704.666667
A1000206009	1|2|3|4|5|6	867146.11|1074984.94|888787.19|1145564.05|1539742.18|2236599.95	393244|426401|371302|454723|562783|780971	2517|1402|2416|1398|2675|3042	1292137.403	498237.3333	2241.666667
A1000201027	1|2|3|4|5|6	286349.18|385115.14|394721.74|362990.52|582695.96|780720.81	108062|127907|132033|122080|177016|220078	218|482|439|395|286|503	465432.225	147862.6667	387.1666667
A1000201030	1|2|3|4|5|6	2236646.21|2917137.97|2906850.83|2552840.18|4193428.53|5248838.02	812516|942775|946980|839062|1269816|1474087	1879|2419|2199|1979|2439|2519	3342623.623	1047539.333	2239
A1000201031	1|2|3|4|5|6	1360983.35|1963944.75|1869851.42|1587884.91|2606185.02|3340308.16	615743|732171|709254|610886|919554|1088012	3351|2235|2050|1849|2267|4503	2121526.268	779270	2709.166667
A1000207007	1|2|3|4|5|6	1382444.4|1574889.29|2473130.36|2881296.01|3270838.3|3925023.3	738142|721223|952130|1066984|1118508|1293615	2066|2048|2763|2819|2536|2644	2584603.61	981767	2479.333333
A1000201033	1|2|3|4|5|6	2034340.88|2599799.32|2931180.04|2286777.28|3780648.69|5233114.43	829240|879299|966640|798730|1227516|1484820	1787|2293|2091|1882|2318|2387	3144310.107	1031040.833	2126.333333
A1000201037	1|2|3|4|5|6	1563356.1|2247138.19|2573607.79|1956485.9|2882490.38|4887799.03	842141|899683|981111|795484|1126576|1495362	2549|3363|3190|2845|3533|3628	2685146.232	1023392.833	3184.666667
A1000207010	1|2|3|4|5|6	838099.42|736451.29|1486058.44|1105812.42|1611092.85|1831073.77	435927|328001|588774|480607|611594|622170	2827|1478|1937|1993|1829|1864	1268098.032	511178.8333	1988
A1000201035	1|2|3|4|5|6	921145.37|1343602.98|1420321.86|1249896.19|1891237.6|3064983.65	444558|494171|514538|460729|649508|882236	1202|2891|2626|2362|1538|3010	1648531.275	574290	2271.5
A1000207009	1|2|3|4|5|6	617802.14|745013.91|1286144.17|1290897.47|1424146.42|1983613.49	405804|368577|539059|543767|570146|686301	1372|2578|3450|3530|1665|3306	1224602.933	518942.3333	2650.166667
A1000201034	1|2|3|4|5|6	1266482.73|1973624.97|2075274.26|1730747.88|2573887.49|4125691.1	634960|723164|751904|642886|901661|1211079	2079|5044|2416|4139|5111|2857	2290951.405	810942.3333	3607.666667
A1000201036	1|2|3|4|5|6	1397065.02|1988908.74|2302847.72|1635843.95|2588625.17|4099833.45	732967|781587|866634|668985|988407|1253840	2250|2886|2634|2460|3043|3131	2335520.675	882070	2734
A1000206010	1|2|3|4|5|6	975854.26|1022898.21|1038714.03|1110008.24|1767819.77|2148152.74	429956|412827|418044|445176|614269|726175	1582|1656|1531|3215|3275|1917	1343907.875	507741.1667	2196
A1000207011	1|2|3|4|5|6	1161753.87|1312893.69|2174196.42|1945037.58|2117508.92|3652879.92	585759|501816|796851|751015|777286|1051480	1676|1652|2194|2228|3911|4014	2060711.733	744034.5	2612.5
A1000207012	1|2|3|4|5|6	797422.05|887162.48|1524368.01|1301080.11|1526958.44|2413683.05	423043|355664|578590|532379|573435|738283	1481|1430|1950|3792|3459|1951	1408445.69	533565.6667	2343.833333
A1000201038	1|2|3|4|5|6	13936.45|32788.2|32871.23|27308.64|34841.82|68405.74	12405|14929|14993|12782|16308|25214	74|4|4|4|4|66	35025.34667	16105.16667	26
A1000207013	1|2|3|4|5|6	4045.54|1876.87|8228.76|3047.37|8808.19|4430.66	2694|1416|3534|1928|3723|2165	29|21|21|16|23|15	5072.898333	2576.666667	20.83333333
A1000202001	1|2|3|4|5|6	888848.8|1061590.31|1075010.95|1244062.09|1409067.93|1778900.58	551372|490105|431198|509315|579187|585293	2885|1517|2310|2766|2934|1233	1242913.443	524411.6667	2274.166667
A1000202003	1|2|3|4|5|6	959684.07|1062379.21|957726.36|1139000.84|1501528.79|1531265.41	468239|434175|370148|442386|549725|504399	1158|1165|932|1115|2198|954	1191930.78	461512	1253.666667
A1000208001							
A1000202002	1|2|3|4|5|6	47352.6|53679.07|52301.0|59666.73|64483.4|77106.97	24055|21391|18537|21908|24418|23788	2|62|2|2|66|57	59098.295	22349.5	31.83333333
A1000208003	1|2|3|4|5|6	1908873.61|2121725.84|2823198.02|2032916.9|2944001.08|3213468.18	849848|804669|1017435|732953|1011372|981967	2095|2221|2599|1927|2292|1927	2507363.938	899707.3333	2176.833333
A1000202004	1|2|3|4|5|6	1457184.43|1522020.25|1276966.65|1558599.73|2355943.12|2145116.35	571225|541692|453699|546397|742738|645654	1567|1580|1255|1502|1593|1281	1719305.088	583567.5	1463
A1000202005							
A1000202006	1|2|3|4|5|6	2892194.2|3309624.85|2910876.74|4175667.47|5686661.79|5540777.09	988649|1051575|861947|1223067|1508154|1449606	1963|2108|1673|2001|2126|1712	4085967.023	1180499.667	1930.5
A1000208002							
A1000202011	1|2|3|4|5|6	1949810.16|2099429.03|2186134.68|2640201.71|3492846.82|3771920.26	825594|749459|675628|815865|1033689|990969	1954|1945|1557|1849|1984|1577	2690057.11	848534	1811
A1000202007	1|2|3|4|5|6	2461980.68|2645508.31|2028975.55|2581905.3|3758692.83|3468441.01	908712|891955|712906|890179|1187552|1058548	2429|2445|1955|2333|2461|1990	2824250.613	941642	2268.833333
A1000202009	1|2|3|4|5|6	1267745.38|1319378.52|1118912.68|1342955.22|1980945.53|1736407.38	536004|505016|430289|513473|684881|585028	3364|1747|1383|1651|1766|2748	1461057.452	542448.5	2109.833333
A1000202008	1|2|3|4|5|6	176487.23|177406.5|161161.77|188584.29|320558.49|273504.6	79407|72713|65569|76663|110875|92076	261|484|211|460|274|392	216283.8133	82883.83333	347
A1000202010	1|2|3|4|5|6	2038467.35|2506824.05|1764133.91|2713137.2|3184801.44|3477410.1	670581|759288|548611|821823|885080|940930	1471|1513|1204|1421|1515|1224	2614129.008	771052.1667	1391.333333
A1000202016	1|2|3|4|5|6	1018484.59|1100105.88|883184.67|1026086.03|1509582.27|1434935.84	423851|397803|326395|378812|505022|457321	1360|1381|1099|1318|1396|1129	1162063.213	414867.3333	1280.5
A1000202023	1|2|3|4|5|6	1840715.11|1970034.27|1647023.31|2067497.92|2923441.84|2925965.26	706036|679615|548262|676170|892780|828329	1575|1588|1263|1510|1601|1290	2229112.952	721865.3333	1471.166667
A1000202013	1|2|3|4|5|6	6830530.53|7435842.9|6073681.85|8376862.43|11023265.71|10830283.28	2060700|2176921|1697503|2399541|2878499|2763889	2633|2644|2114|2481|2656|2157	8428411.117	2329508.833	2447.5
A1000202017	1|2|3|4|5|6	3497228.07|3563353.33|3641751.37|3832189.66|5584007.88|5774860.99	1309042|1154657|1134065|1239431|1694722|1522158	2623|2646|2106|2630|2767|2250	4315565.217	1342345.833	2503.666667
A1000202012	1|2|3|4|5|6	1170786.58|1217092.21|997476.87|1201438.87|1897740.04|1690619.81	463015|441060|369136|444358|621538|540337	1418|1425|1155|1362|1427|2159	1362525.73	479907.3333	1491
A1000202014	1|2|3|4|5|6	2042975.55|2287298.53|1700027.4|2281899.67|3218759.34|3147217.45	722640|737558|571808|756912|971222|911573	1936|1952|1552|1856|1968|1584	2446362.99	778618.8333	1808
A1000202015	1|2|3|4|5|6	2202138.21|2429002.75|1939640.8|2332358.61|3312109.64|3223105.46	825973|805659|655488|792555|1033360|965351	2086|2080|1696|3730|3954|1720	2573059.245	846397.6667	2544.333333
A1000202018	1|2|3|4|5|6	1579261.43|1755954.03|1429681.66|1730106.39|2597429.02|2553054.93	649059|621518|519934|621073|845108|783819	1929|1945|1545|1849|1961|1577	1940914.577	673418.5	1801
A1000202020	1|2|3|4|5|6	5746935.16|6204636.02|5131032.75|6738132.22|9552128.73|9431825.45	1785111|1822507|1497833|1972230|2555254|2443938	3456|3504|2769|3345|3542|2859	7134115.055	2012812.167	3245.833333
A1000202021	1|2|3|4|5|6	2180780.53|2397945.67|1921089.38|2378070.25|3515189.14|3460141.77	832334|819479|671547|826461|1101588|1019378	1941|1957|1557|1861|1974|1590	2642202.79	878464.5	1813.333333
A1000202019	1|2|3|4|5|6	188500.53|177600.05|160619.72|189146.0|325206.65|310669.77	55529|49783|44787|52595|77572|70080	146|164|156|46|18|160	225290.4533	58391	115
A1000202022	1|2|3|4|5|6	1286332.56|1398749.02|1183192.26|1389317.72|2215455.12|2163432.76	550042|515249|442519|522159|732755|675823	1688|1701|1351|1617|1715|1379	1606079.907	573091.1667	1575.166667
A1000202024	1|2|3|4|5|6	2127472.32|2170130.61|2213318.06|2216904.71|3154918.8|3647073.67	865796|722082|715573|764094|1010506|963645	2063|2067|1646|1978|2096|1676	2588303.028	840282.6667	1921
A1000202029	1|2|3|4|5|6	1285980.39|1367861.19|1401207.48|1318202.84|2030655.01|2415154.87	635603|521117|503996|528344|734142|710613	3130|3149|1363|1595|3183|2551	1636510.297	605635.8333	2495.166667
A1000202025	1|2|3|4|5|6	1894170.96|2203798.35|2138003.96|2183817.69|2746171.82|3901158.87	897970|754553|713996|792297|958990|1084973	2299|2299|1849|2186|2336|1862	2511186.942	867129.8333	2138.5
A1000202026	1|2|3|4|5|6	2126095.8|2151702.01|2238314.27|2349296.18|3272135.31|4088925.34	912093|745916|742646|822989|1072776|1085311	2296|2301|1840|2195|2456|1968	2704411.485	896955.1667	2176
A1000202028	1|2|3|4|5|6	1416127.89|1621031.12|1410859.21|1630949.79|2520011.17|2510083.32	646983|608308|533228|619599|840819|777585	2049|2066|1641|1963|2082|1674	1851510.417	671087	1912.5
A1000208007	1|2|3|4|5|6	972466.5|1274071.7|1813196.32|1183692.47|1646952.63|2422898.45	554196|522229|695535|483446|642060|740820	3180|1790|3948|2922|3340|1554	1552213.012	606381	2789
A1000208012	1|2|3|4|5|6	1154373.62|1398765.94|1878535.43|1293148.14|1822330.37|2277270.74	536865|514222|673913|482911|657059|679425	1537|1504|1887|1402|1740|1395	1637404.04	590732.5	1577.5
A1000202027	1|2|3|4|5|6	1400719.95|1576798.83|1466727.66|1549430.23|2155187.64|2451505.66	613787|556831|504837|568571|724830|737503	2900|2929|1259|1469|1562|2381	1766728.328	617726.5	2083.333333
A1000208016	1|2|3|4|5|6	676712.33|850651.15|1296742.22|812971.0|1208167.01|1850373.15	395551|355480|507683|343269|464359|559851	1273|1340|1676|2378|1438|2368	1115936.143	437698.8333	1745.5
A1000208005	1|2|3|4|5|6	1190387.02|1432321.69|2212639.49|1460573.47|2114042.01|3000658.4	636169|557715|812950|567698|795816|864559	1600|1688|1984|1464|1809|1472	1901770.347	705817.8333	1669.5
A1000208012	1|2|3|4|5|6	1154373.62|1398765.94|1878535.43|1293148.14|1822330.37|2277270.74	536865|514222|673913|482911|657059|679425	1537|1504|1887|1402|1740|1395	1637404.04	590732.5	1577.5
A1000208012	1|2|3|4|5|6	1154373.62|1398765.94|1878535.43|1293148.14|1822330.37|2277270.74	536865|514222|673913|482911|657059|679425	1537|1504|1887|1402|1740|1395	1637404.04	590732.5	1577.5
A1000208006	1|2|3|4|5|6	769625.2|1113592.78|1547790.24|998479.7|1225379.34|1927217.12	475774|460620|619560|426552|483118|623165	2775|2943|1835|1381|1327|2551	1263680.73	514798.1667	2135.333333
A1000208008	1|2|3|4|5|6	992209.75|1405612.65|1968968.73|1286548.29|1532646.69|2618681.51	587432|565155|766288|529445|598569|802356	1795|3789|4437|3285|1731|3285	1634111.27	641540.8333	3053.666667
A1000208016	1|2|3|4|5|6	676712.33|850651.15|1296742.22|812971.0|1208167.01|1850373.15	395551|355480|507683|343269|464359|559851	1273|1340|1676|2378|1438|2368	1115936.143	437698.8333	1745.5
A1000208014	1|2|3|4|5|6	1688459.76|1881780.27|2927967.63|1790638.2|3095350.75|3182236.31	809511|747901|1044022|681661|1062197|966347	2100|2222|2726|2023|2471|2018	2427738.82	885273.1667	2260
A1000208010	1|2|3|4|5|6	1608.41|1154.15|2947.45|1065.03|2475.27|1162.36	550|529|707|418|551|487	5|5|5|5|5|5	1735.445	540.3333333	5
A1000208017	1|2|3|4|5|6	1096842.17|1396189.27|2125436.22|1468160.82|1644731.47|2497298.48	619494|582968|803402|584717|638104|791289	1897|3823|2324|3314|1771|1744	1704776.405	669995.6667	2478.833333
